marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,HoofdCategorieMS,GEMEENTE,PROVINCIE,PLAATS,SITUERING,Adres,POSTCODE,STATUS,long,lat
#80ff80,small,,45672,,Archeologie,Menameradiel,Friesland,Schingen,,,9033 ZA,beschermd,5.616859736635,53.202121345336
#80ff80,small,,45673,,Archeologie,Menameradiel,Friesland,Schingen,,,9033 ZA,beschermd,5.616411081724,53.199354632483
#80ff80,small,,45674,,Archeologie,Menameradiel,Friesland,Schingen,,,9033 ZA,beschermd,5.609737093475,53.199349234693
#80ff80,small,,45675,,Archeologie,Franekeradeel,Friesland,Ried,,,8810 AA,beschermd,5.60349323257,53.228482922788
#80ff80,small,,45676,,Archeologie,Menameradiel,Friesland,Berlikum,,,9040 AA,beschermd,5.614305908176,53.231589904049
#80ff80,small,,45677,,Archeologie,Menameradiel,Friesland,Berlikum,,,9040 AA,beschermd,5.63128248398,53.238601214348
#80ff80,small,,45678,,Archeologie,Menameradiel,Friesland,Wier,,,9033 ZA,beschermd,5.626563765138,53.243867241135
#80ff80,small,,45679,,Archeologie,Menameradiel,Friesland,Wier,,,9033 ZA,beschermd,5.626288311011,53.250930381905
#80ff80,small,,45680,,Archeologie,Menameradiel,Friesland,Wier,,,9033 ZA,beschermd,5.621391912542,53.251425253029
#80ff80,small,,45681,,Archeologie,Menameradiel,Friesland,Beetgum,,,9044 ZA,beschermd,5.687038532149,53.23777396669
#80ff80,small,,45682,,Archeologie,Menameradiel,Friesland,Beetgum,,,9044 ZA,beschermd,5.684565023284,53.235273157187
#80ff80,small,,45683,,Archeologie,Menameradiel,Friesland,Beetgum,,,9044 ZA,beschermd,5.679826012661,53.22990246565
#80ff80,small,,45684,,Archeologie,Menameradiel,Friesland,Beetgum,,,9044 ZA,beschermd,5.664422183946,53.230693834471
#80ff80,small,,45686,,Archeologie,Menameradiel,Friesland,Berlikum,,,9040 AA,beschermd,5.653335233786,53.237089685112
#80ff80,small,,45691,,Archeologie,Leeuwarden,Friesland,Leeuwarden,,,8900 AA,beschermd,5.832538701426,53.228516310793
#80ff80,small,,45692,,Archeologie,Leeuwarden,Friesland,Leeuwarden,,,8900 AA,beschermd,5.803120161246,53.180898924727
#80ff80,small,,45693,,Archeologie,Leeuwarden,Friesland,Leeuwarden,,,8900 AA,beschermd,5.841577566063,53.172438510112
#80ff80,small,,45694,,Archeologie,Leeuwarden,Friesland,Wirdum,,,9088 ZA,beschermd,5.783094132135,53.150100542622
#80ff80,small,,45695,,Archeologie,Leeuwarden,Friesland,Wirdum,,,9088 ZA,beschermd,5.785392306885,53.133442134136
#80ff80,small,,45696,,Archeologie,Leeuwarden,Friesland,Wirdum,,,9088 ZA,beschermd,5.781841822659,53.129131671919
#80ff80,small,,45721,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.69186064739,53.275657196795
#80ff80,small,,45722,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.715695354787,53.295040234909
#80ff80,small,,45723,,Archeologie,Ten Boer,Groningen,Ten Post,,,9792 ZA,beschermd,6.708901212423,53.307776953626
#80ff80,small,,45724,,Archeologie,Ten Boer,Groningen,Ten Post,,,9792 ZA,beschermd,6.709680775296,53.30922416404
#80ff80,small,,45725,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.733467744918,53.307486265272
#80ff80,small,,45726,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.740953386339,53.302675319656
#80ff80,small,,45727,,Archeologie,Ten Boer,Groningen,Ten Boer,,,9790 AA,beschermd,6.734595860874,53.293176248025
#80ff80,small,,45728,,Archeologie,Ten Boer,Groningen,Wittewierum,,,9790 AA,beschermd,6.748732989055,53.286798229909
