marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Provincie,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,13256,,Vanwege onderdelen kerk,,,De Friese Meren,Friesland,Teroele,,Nummer 7,8528 DT,beschermd,5.708977862458,52.95772410999
#0080ff,small,,13257,Spannenburg,Horeca,,,De Friese Meren,Friesland,Tjerkgaast,,Strjitwei 5,8522 MN,beschermd,5.701550291508,52.91002617854
#0080ff,small,,13258,,Kerk en kerkonderdeel,,,De Friese Meren,Friesland,Tjerkgaast,,Gaestdyk 37,8522 MX,beschermd,5.678303962078,52.903668823293
#0080ff,small,,13259,,Boerderij,,,De Friese Meren,Friesland,Tjerkgaast,,Gaestdyk 61,8522 MZ,beschermd,5.660804269701,52.897904981595
#0080ff,small,,14221,Batinge,"Kasteel, buitenplaats",,,Westerveld,Drenthe,Dwingeloo,Bij,Batingheweg 6,7991 CN,beschermd,6.354070031667,52.8355625072
#0080ff,small,,14222,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 2,7991 CG,beschermd,6.367688164813,52.832018201175
#0080ff,small,,14223,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 3,7991 CG,beschermd,6.367926957538,52.832079147292
#0080ff,small,,14224,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 4,7991 CG,beschermd,6.367961466778,52.832294555404
#0080ff,small,,14225,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 8,7991 CG,beschermd,6.3689854768,52.832960164804
#0080ff,small,,14226,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 9,7991 CG,beschermd,6.368896053168,52.832942926813
#0080ff,small,,14227,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 12,7991 CG,beschermd,6.368068422844,52.833093533202
#0080ff,small,,14228,,Kerk en kerkonderdeel,,,Westerveld,Drenthe,Dwingeloo,,Brink 29,7991 CH,beschermd,6.365423371551,52.834921683443
#0080ff,small,,14229,,Kerk en kerkonderdeel,,,Westerveld,Drenthe,Dwingeloo,,Brink 29,7991 CH,beschermd,6.365423371551,52.834921683443
#0080ff,small,,14230,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Brink 36,7991 CJ,beschermd,6.364991418212,52.833523230043
#0080ff,small,,14231,,"Kasteel, buitenplaats",,,Westerveld,Drenthe,Dwingeloo,,Entingheweg 20,7991 CC,beschermd,6.366532258873,52.836062936414
#0080ff,small,,14232,Entinge,"Tuin, park en plantsoen",,,Westerveld,Drenthe,Dwingeloo,,Entinghehof 5,7991 CR,beschermd,6.358150251561,52.834855313966
#0080ff,small,,14233,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Leggeloo 39,7991 PZ,beschermd,6.358408096563,52.854481093446
#0080ff,small,,14234,De Hulsebos,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 1,7991 RS,beschermd,6.356929078541,52.832654413667
#0080ff,small,,14235,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 43,7991 RT,beschermd,6.349385234637,52.824986582493
#0080ff,small,,14236,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 49,7991 RT,beschermd,6.347531408315,52.82434546821
#0080ff,small,,14237,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 51,7991 RT,beschermd,6.348166500327,52.824214530042
#0080ff,small,,14238,,Woonhuis,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 53,7991 RT,beschermd,6.347188301051,52.823584323009
#0080ff,small,,14240,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 20,7991 RV,beschermd,6.347595825097,52.821873479141
#0080ff,small,,14241,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 24,7991 RV,beschermd,6.345153127151,52.820077726647
#0080ff,small,,14242,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Westeinde 30,7991 RV,beschermd,6.343845022094,52.819279386895
#0080ff,small,,14243,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Lhee 90,7991 PK,beschermd,6.392920704474,52.823890291643
#0080ff,small,,14244,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Lhee 100,7991 PK,beschermd,6.390927660669,52.824320501434
#0080ff,small,,14245,,Boerderij,,,Westerveld,Drenthe,Leggeloo,,Leggeloo 3,7991 PW,beschermd,6.364335011992,52.852626273839
#0080ff,small,,14246,,Boerderij,,,Westerveld,Drenthe,Leggeloo,,Leggeloo 5,7991 PW,beschermd,6.364068251442,52.853311479526
#0080ff,small,,14247,,Boerderij,,,Westerveld,Drenthe,Dwingeloo,,Leggeloo 41,7991 PZ,beschermd,6.358870719344,52.853920125085
#0080ff,small,,14248,,Boerderij,,,Westerveld,Drenthe,Leggeloo,,Leggeloo 24A,7991 PW,beschermd,6.367512444163,52.8539662401
#0080ff,small,,14249,,Boerderij,,,Westerveld,Drenthe,Leggeloo,,Leggeloo 38,7991 PZ,beschermd,6.360757194616,52.855962787351
#0080ff,small,,14490,,Woonhuis,,,Tynaarlo,Drenthe,Eelde,,Burg. J.G. Legroweg 60,9761 TC,beschermd,6.58719947323,53.133198798092
#0080ff,small,,14491,,Kerk en kerkonderdeel,,,Tynaarlo,Drenthe,Eelde,,Hoofdweg 74,9761 EK,beschermd,6.564019280347,53.133042283744
#0080ff,small,,14492,Nijsinghhuis,Woonhuis,,,Tynaarlo,Drenthe,Eelde,,Hoofdweg 80,9761 EK,beschermd,6.563537707942,53.134017568851
#0080ff,small,,14536,,Boerderij,,,De Marne,Groningen,Eenrum,,Eenrumerstreek 1,9967 TH,beschermd,6.447813276255,53.363678062375
#0080ff,small,,14537,Den Oever,Boerderij,,,De Marne,Groningen,Eenrum,,Eenrumerstreek 8,9967 TH,beschermd,6.442862763677,53.375591801722
#0080ff,small,,14538,,Werk-woonhuis,,,De Marne,Groningen,Eenrum,,Havenstraat 7,9967 SK,beschermd,6.457653711349,53.364920787681
#0080ff,small,,14539,,Woonhuis,,,De Marne,Groningen,Eenrum,,Hereweg 1,9967 PP,beschermd,6.460446880106,53.363673829116
#0080ff,small,,14540,,Werk-woonhuis,,,De Marne,Groningen,Eenrum,,Hoogstraat 9,9967 SB,beschermd,6.46018390653,53.365176803759
#0080ff,small,,14541,,Woonhuis,,,De Marne,Groningen,Eenrum,,Hoogstraat 2,9967 SC,beschermd,6.459141522889,53.364943481147
#0080ff,small,,14542,,Woonhuis,,,De Marne,Groningen,Eenrum,,Oudeschoolgang 3A,9967 SE,beschermd,6.459661136422,53.365298281248
#0080ff,small,,14543,,Werk-woonhuis,,,De Marne,Groningen,Eenrum,,Hoogstraat 6,9967 SC,beschermd,6.459899880684,53.365233251804
#0080ff,small,,14544,,Straatmeubilair,,,De Marne,Groningen,Eenrum,Bij,Hoogstraat 3,9967 SB,beschermd,6.459530683242,53.36488609766
#0080ff,small,,14545,,Werk-woonhuis,,,De Marne,Groningen,Eenrum,,Kerkbuurt 3,9967 RR,beschermd,6.460814278132,53.364551158873
#0080ff,small,,14546,,Woonhuis,,,De Marne,Groningen,Eenrum,,Kerkbuurt 4,9967 RR,beschermd,6.461069156762,53.365132960592
#0080ff,small,,14547,,Straatmeubilair,,,De Marne,Groningen,Eenrum,Bij,Kerkbuurt 3,9967 RR,beschermd,6.460814278132,53.364551158873
#0080ff,small,,14548,,Kerk en kerkonderdeel,,,De Marne,Groningen,Eenrum,,Kerkpad 1,9967 RL,beschermd,6.46040068484,53.364833409515
#0080ff,small,,14549,,Kerk en kerkonderdeel,,,De Marne,Groningen,Eenrum,,Kerkpad 1,9967 RL,beschermd,6.46040068484,53.364833409515
#0080ff,small,,14550,,Industrie- en poldermolen,,,De Marne,Groningen,Eenrum,,Molenstraat 3,9967 SL,beschermd,6.458351048781,53.365777216053
